OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_193	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella	
OTU_111	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	Intestinimonas butyriciproducens
OTU_187	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae UCG-003	
OTU_74	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 9	
OTU_165	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	
OTU_157	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae FCS020 group	
OTU_37	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-003	
OTU_176	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_26	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella	
OTU_244	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_216	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_97	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_209	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	
OTU_110	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
OTU_130	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-009	
OTU_256	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-011	
OTU_92	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	
OTU_91	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis subsp. lactis BB-12
OTU_128	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] torques group	uncultured Ruminococcus sp.
OTU_12	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	
OTU_151	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	
OTU_167	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_230	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_240	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_95	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 9	Clostridium sp. Marseille-P2776
OTU_63	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	
OTU_278	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae		
OTU_93	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	
OTU_150	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_192	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	
OTU_70	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005	
OTU_116	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_137	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	CAG-56	
OTU_31	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] eligens group	
OTU_264	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_43	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	
OTU_140	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
OTU_280	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	
OTU_272	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae		
OTU_107	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	Clostridiales bacterium DJF_B152
OTU_125	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	
OTU_273	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-003	
OTU_213	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales			
OTU_249	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
OTU_127	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	
